Item;Order Date;Sales;Profit
Meat;11/24/2016;1824;766.08
Flour;4/30/2016;1368;383.04
Fresh Vegetables;12/05/2015;1160;510.4
Flour;12/05/2015;1294;77.64
Salt;06/04/2017;1232;554.4
Meat;9/18/2017;994;357.84
Noodles;9/14/2018;2468;1011.88
Cookies;4/26/2016;721;100.94
Organic Vegetables;4/26/2016;2375;475
Soft Drinks;4/26/2016;1965;117.9
Soft Drinks;12/09/2018;1489;193.57
Organic Fruits;12/09/2018;1250;75
Noodles;12/09/2018;1358;488.88
Cookies;11/26/2015;719;64.71
Organic Fruits;06/12/2017;2303;621.81
Health Drinks;06/12/2017;2027;912.15
Flour;10/12/2015;1739;765.16
Spices;10/12/2015;990;227.7
Soft Drinks;09/03/2016;2354;682.66
Organic Fruits;11/13/2018;1044;344.52
Spices;5/28/2018;2129;659.99
Rice;10/26/2018;1759;615.65
Eggs;10/26/2018;1663;665.2
Breads & Buns;04/05/2017;2111;189.99
Legumes;9/17/2017;1878;450.72
Chicken;9/17/2017;769;46.14
Health Drinks;9/17/2017;1241;409.53
Flour;1/31/2016;2128;383.04
Fresh Fruits;1/31/2016;2257;270.84
Chocolates;1/31/2016;1285;218.45
Fish;11/06/2018;1230;442.8
Flour;11/09/2018;1856;723.84
Fresh Fruits;6/17/2018;545;125.35
Chocolates;09/06/2017;2301;391.17
Spices;8/29/2017;1475;531
Cakes;8/29/2017;2118;910.74
Soft Drinks;8/29/2017;1527;671.88
Chocolates;12/01/2017;567;175.77
Fresh Fruits;11/13/2016;969;184.11
Legumes;11/13/2016;2300;1035
Salt;11/13/2016;1575;78.75
Health Drinks;11/23/2018;540;108
Cookies;11/23/2018;536;176.88
Eggs;11/23/2018;556;155.68
Fresh Fruits;10/15/2016;1179;271.17
Legumes;12/25/2018;1487;505.58
Breads & Buns;11/03/2017;2220;111
Edible Oil & Ghee;11/03/2017;2155;581.85
Fresh Vegetables;8/25/2015;1154;69.24
Noodles;8/25/2015;2420;242
Chocolates;8/25/2015;1305;287.1
Organic Fruits;8/25/2015;927;157.59
Organic Vegetables;03/02/2016;983;186.77
Rice;04/05/2016;903;90.3
Chicken;06/12/2017;1235;74.1
Organic Vegetables;06/12/2017;1243;174.02
Cakes;06/12/2017;649;201.19
Meat;06/12/2017;2354;188.32
Soft Drinks;06/12/2017;1443;187.59
Breads & Buns;12/26/2015;975;390
Organic Vegetables;9/20/2015;889;71.12
Meat;11/05/2018;2352;870.24
Spices;11/05/2018;1293;336.18
Rice;11/06/2017;1458;597.78
Flour;11/06/2017;1801;126.07
Chocolates;02/02/2018;1261;416.13
Soft Drinks;02/02/2018;2112;105.6
Fish;02/02/2018;640;140.8
Cakes;10/13/2017;1658;315.02
Health Drinks;10/13/2017;2373;664.44
Organic Fruits;10/13/2017;1430;514.8
Spices;10/13/2017;1873;674.28
Eggs;10/13/2017;867;329.46
Noodles;10/13/2017;1101;484.44
Meat;10/13/2017;1088;424.32
Biscuits;09/05/2017;866;381.04
Salt;9/18/2018;2483;223.47
Flour;9/18/2018;1335;293.7
Fish;9/18/2018;765;252.45
Meat;12/22/2018;2403;624.78
Edible Oil & Ghee;09/07/2016;1551;573.87
Organic Staples;10/22/2015;1564;187.68
Fresh Vegetables;12/05/2017;1125;292.5
Health Drinks;12/05/2017;768;184.32
Fish;12/05/2017;1985;734.45
Rice;12/05/2017;2287;1029.15
Chocolates;3/13/2017;1016;335.28
Cookies;3/13/2017;852;76.68
Organic Staples;5/31/2016;1233;234.27
Noodles;5/31/2016;2236;626.08
Fresh Vegetables;5/31/2016;2188;809.56
Cookies;5/28/2016;1114;456.74
Edible Oil & Ghee;03/01/2015;1774;620.9
Soft Drinks;11/20/2017;2364;1040.16
Legumes;11/20/2017;1487;148.7
Soft Drinks;05/11/2017;713;192.51
Fish;12/28/2016;737;280.06
Chocolates;11/16/2017;1004;341.36
Cookies;11/07/2017;1516;121.28
Flour;09/08/2015;1442;605.64
Health Drinks;09/08/2015;1690;422.5
Chocolates;09/08/2015;2021;343.57
Meat;09/08/2015;2340;491.4
Spices;09/08/2015;705;176.25
Chicken;09/08/2015;1215;60.75
Legumes;09/08/2015;552;237.36
Health Drinks;08/05/2015;1412;564.8
Legumes;08/05/2015;791;150.29
Organic Vegetables;08/05/2015;2476;420.92
Fresh Vegetables;9/14/2015;1747;471.69
Organic Fruits;9/14/2015;1973;848.39
Spices;4/21/2018;2025;546.75
Noodles;11/21/2016;1016;223.52
Organic Fruits;11/21/2016;689;55.12
Flour;12/15/2016;1322;343.72
Cookies;12/05/2015;1605;433.35
Health Drinks;12/05/2015;1718;171.8
Edible Oil & Ghee;11/19/2015;2177;783.72
Organic Staples;11/19/2015;578;236.98
Legumes;11/19/2015;782;195.5
Noodles;11/28/2017;1388;97.16
Cakes;8/26/2015;2264;792.4
Soft Drinks;7/16/2017;813;138.21
Organic Fruits;7/16/2017;2015;564.2
Soft Drinks;10/12/2016;1433;472.89
Organic Fruits;10/12/2016;2093;334.88
Fresh Vegetables;10/12/2016;2149;623.21
Health Drinks;10/12/2016;1972;414.12
Salt;10/12/2016;2060;432.6
Eggs;10/31/2016;1175;340.75
Edible Oil & Ghee;3/21/2015;1006;191.14
Breads & Buns;3/21/2015;1409;380.43
Organic Staples;11/06/2018;914;338.18
Meat;07/06/2018;1352;527.28
Eggs;07/06/2018;682;170.5
Organic Staples;6/24/2018;1738;243.32
Cakes;08/03/2015;2421;484.2
Organic Staples;08/03/2015;2245;404.1
Salt;12/17/2018;896;295.68
Spices;06/03/2018;1033;185.94
Meat;12/09/2018;1998;139.86
Chicken;12/01/2018;1469;646.36
Eggs;12/01/2018;1899;360.81
Meat;12/01/2018;2194;153.58
Soft Drinks;12/01/2018;1942;504.92
Organic Vegetables;12/01/2018;609;207.06
Chicken;02/09/2016;2353;423.54
Soft Drinks;01/02/2016;1591;270.47
Rice;01/02/2016;1353;527.67
Health Drinks;01/02/2016;1020;81.6
Noodles;01/02/2016;1362;177.06
Rice;01/02/2016;1733;433.25
Salt;10/28/2017;1949;97.45
Organic Fruits;10/28/2017;2368;876.16
Fresh Vegetables;12/24/2016;2110;485.3
Legumes;12/24/2016;1940;795.4
Fish;12/24/2016;1557;638.37
Fish;12/24/2016;1443;274.17
Soft Drinks;12/24/2016;2024;910.8
Chicken;12/24/2016;2168;563.68
Chicken;08/09/2016;621;173.88
Organic Staples;08/09/2016;1230;295.2
Cookies;08/09/2016;560;240.8
Edible Oil & Ghee;2/28/2016;1286;282.92
Health Drinks;2/28/2016;1242;149.04
Breads & Buns;9/13/2015;717;43.02
Soft Drinks;04/07/2018;1480;444
Legumes;04/07/2018;826;247.8
Cookies;04/07/2018;1846;276.9
Soft Drinks;04/07/2018;2045;552.15
Organic Fruits;04/07/2018;1983;773.37
Cakes;11/12/2018;650;247
Breads & Buns;06/04/2017;2163;216.3
Organic Vegetables;06/04/2017;1481;518.35
Cookies;06/04/2017;2492;124.6
Cakes;06/04/2017;962;423.28
Health Drinks;06/04/2017;1432;214.8
Edible Oil & Ghee;06/04/2017;523;78.45
Salt;06/04/2017;1540;646.8
Biscuits;06/01/2015;817;326.8
Fish;06/01/2015;2462;369.3
Organic Fruits;06/01/2015;962;288.6
Health Drinks;06/01/2015;538;59.18
Cookies;06/01/2015;1556;482.36
Health Drinks;12/10/2017;2133;959.85
Health Drinks;09/11/2017;1474;235.84
Health Drinks;09/11/2017;531;127.44
Rice;12/10/2017;1769;636.84
Organic Vegetables;12/10/2017;1257;62.85
Rice;11/28/2016;1899;170.91
Fresh Fruits;11/28/2016;1929;617.28
Soft Drinks;11/28/2016;2417;990.97
Meat;11/28/2016;1443;476.19
Soft Drinks;12/01/2018;660;290.4
Breads & Buns;12/01/2018;2114;359.38
Salt;12/01/2018;1278;63.9
Organic Staples;06/08/2018;867;216.75
Organic Staples;9/19/2015;943;150.88
Soft Drinks;9/19/2015;1836;275.4
Fish;06/06/2017;1200;420
Organic Vegetables;11/10/2016;1167;256.74
Chicken;6/16/2018;696;139.2
Salt;1/22/2017;2500;425
Cakes;12/09/2018;1507;180.84
Soft Drinks;12/09/2018;1612;612.56
Noodles;12/28/2018;764;160.44
Noodles;7/30/2016;884;282.88
Organic Fruits;7/30/2016;2443;781.76
Cakes;7/30/2016;1147;137.64
Organic Vegetables;9/16/2018;1899;493.74
Cakes;9/16/2018;744;66.96
Fish;10/13/2018;812;284.2
Salt;10/13/2018;862;137.92
Chocolates;10/13/2018;1061;286.47
Fresh Vegetables;10/13/2018;2365;520.3
Chocolates;9/26/2016;1421;454.72
Organic Vegetables;9/26/2016;1357;203.55
Soft Drinks;11/02/2016;1007;433.01
Biscuits;9/26/2016;1544;138.96
Organic Vegetables;9/26/2016;1537;599.43
Breads & Buns;9/26/2016;1530;168.3
Spices;12/18/2017;2460;738
Noodles;12/18/2017;976;429.44
Organic Fruits;12/18/2017;1106;298.62
Biscuits;11/20/2017;1165;244.65
Rice;11/20/2017;1244;497.6
Organic Fruits;11/20/2017;1992;418.32
Eggs;11/20/2017;1396;237.32
Chocolates;12/26/2015;849;263.19
Salt;12/26/2015;2488;547.36
Rice;12/26/2015;840;184.8
Edible Oil & Ghee;12/26/2015;1820;527.8
Salt;12/26/2015;1969;630.08
Organic Staples;10/28/2017;2261;994.84
Meat;10/28/2017;1793;304.81
Breads & Buns;10/28/2017;644;96.6
Edible Oil & Ghee;10/28/2017;1359;421.29
Breads & Buns;10/28/2017;1554;683.76
Cookies;11/19/2018;2090;292.6
Edible Oil & Ghee;05/04/2016;931;297.92
Breads & Buns;12/30/2015;1157;404.95
Fresh Fruits;06/01/2015;2396;383.36
Spices;06/01/2015;1677;586.95
Cookies;4/15/2018;590;200.6
Noodles;09/12/2017;1401;196.14
Edible Oil & Ghee;09/12/2017;678;189.84
Chocolates;09/12/2017;2417;797.61
Soft Drinks;09/12/2017;2211;641.19
Fresh Fruits;9/27/2015;2392;406.64
Meat;08/09/2015;1835;660.6
Noodles;08/09/2015;2281;775.54
Fresh Vegetables;12/28/2015;1583;174.13
Cakes;11/04/2015;1123;89.84
Cookies;11/04/2015;1079;410.02
Organic Staples;11/04/2015;1027;328.64
Fresh Vegetables;11/04/2015;1771;602.14
Spices;11/04/2015;1171;363.01
Cakes;9/19/2015;672;141.12
Health Drinks;4/23/2017;848;228.96
Fresh Vegetables;4/23/2017;2078;914.32
Rice;11/03/2018;1400;406
Fresh Vegetables;8/30/2017;945;226.8
Health Drinks;8/30/2017;590;82.6
Health Drinks;8/30/2017;1583;316.6
Health Drinks;8/30/2017;1534;245.44
Noodles;8/30/2017;2133;490.59
Organic Fruits;4/25/2017;2021;747.77
Health Drinks;4/25/2017;1825;164.25
Breads & Buns;4/25/2017;2029;608.7
Spices;09/01/2016;1228;442.08
Rice;09/01/2016;1501;210.14
Organic Vegetables;09/01/2016;1094;415.72
Cakes;07/12/2015;1179;106.11
Flour;07/12/2015;1127;416.99
Biscuits;6/22/2016;601;234.39
Edible Oil & Ghee;4/13/2015;1697;560.01
Soft Drinks;4/13/2015;2095;502.8
Chicken;4/13/2015;1132;215.08
Organic Vegetables;4/13/2015;1561;640.01
Chicken;12/20/2016;1238;297.12
Breads & Buns;6/15/2018;2068;165.44
Organic Vegetables;07/08/2018;1113;356.16
Rice;07/08/2018;1966;629.12
Chicken;07/08/2018;2138;684.16
Flour;09/01/2017;978;68.46
Fresh Vegetables;09/01/2017;2014;684.76
Breads & Buns;09/01/2017;645;187.05
Rice;09/01/2017;2194;680.14
Health Drinks;09/01/2017;1244;62.2
Biscuits;04/08/2017;743;289.77
Fresh Vegetables;04/08/2017;2474;593.76
Cookies;04/08/2017;1494;74.7
Spices;04/08/2017;1174;328.72
Organic Vegetables;4/23/2017;1062;435.42
Organic Vegetables;03/08/2018;2297;528.31
Noodles;03/08/2018;562;56.2
Eggs;9/25/2018;2049;655.68
Eggs;9/25/2018;570;125.4
Meat;9/25/2018;1236;333.72
Health Drinks;9/25/2018;1069;459.67
Cakes;9/24/2015;1946;622.72
Noodles;10/21/2017;595;196.35
Meat;10/21/2017;2439;658.53
Biscuits;10/21/2017;2415;555.45
Spices;10/21/2017;1725;362.25
Fresh Vegetables;5/29/2018;688;116.96
Rice;5/29/2018;1698;339.6
Breads & Buns;7/23/2015;1665;216.45
Health Drinks;7/23/2015;1309;78.54
Spices;7/23/2015;905;72.4
Meat;7/23/2015;2271;295.23
Chocolates;9/28/2017;2091;522.75
Flour;8/27/2018;1917;172.53
Rice;4/28/2016;641;179.48
Spices;4/28/2016;1192;417.2
Rice;4/28/2016;1132;464.12
Salt;10/28/2017;1727;224.51
Meat;10/28/2017;1051;378.36
Health Drinks;6/26/2016;2109;337.44
Meat;11/27/2016;1311;314.64
Organic Fruits;11/27/2016;759;265.65
Biscuits;12/03/2016;2201;462.21
Cookies;12/03/2016;1964;314.24
Chocolates;11/24/2015;1898;702.26
Biscuits;12/11/2018;2282;114.1
Breads & Buns;12/11/2018;2294;596.44
Spices;9/21/2015;2213;995.85
Flour;9/21/2015;1797;269.55
Edible Oil & Ghee;06/07/2015;1912;382.4
Rice;6/30/2018;1865;354.35
Cakes;10/17/2018;1838;753.58
Soft Drinks;10/17/2018;1626;195.12
Noodles;10/31/2016;647;71.17
Breads & Buns;09/08/2017;1042;177.14
Health Drinks;09/08/2017;1519;318.99
Health Drinks;09/08/2017;532;148.96
Chicken;09/08/2017;1477;73.85
Cakes;12/24/2015;707;98.98
Cookies;4/16/2015;1748;314.64
Salt;12/24/2018;2257;361.12
Flour;12/08/2018;762;198.12
Rice;12/08/2018;904;63.28
Fresh Fruits;12/08/2018;958;182.02
Soft Drinks;12/08/2018;2193;899.13
Eggs;12/08/2018;830;66.4
Cakes;12/08/2018;1531;505.23
Cookies;12/08/2018;2355;753.6
Edible Oil & Ghee;12/08/2018;917;256.76
Breads & Buns;12/08/2018;1433;458.56
Fish;11/03/2018;2246;965.78
Legumes;11/03/2018;2130;937.2
Cookies;6/24/2018;2461;393.76
Soft Drinks;4/14/2017;1863;167.67
Legumes;11/06/2018;1382;290.22
Health Drinks;03/04/2018;807;88.77
Fish;03/04/2018;1272;305.28
Organic Fruits;6/22/2015;1621;470.09
Breads & Buns;10/19/2018;1356;501.72
Organic Staples;10/19/2018;684;54.72
Cakes;8/21/2018;540;162
Soft Drinks;11/23/2018;1256;113.04
Health Drinks;11/23/2018;581;214.97
Noodles;09/12/2015;707;226.24
Organic Vegetables;10/01/2018;913;374.33
Rice;4/15/2017;507;96.33
Fresh Fruits;4/15/2017;1367;355.42
Organic Staples;4/15/2017;833;233.24
Soft Drinks;4/15/2017;1987;258.31
Breads & Buns;06/06/2017;1152;264.96
Noodles;12/19/2015;1362;517.56
Cookies;12/19/2015;942;122.46
Eggs;06/12/2017;2200;792
Noodles;06/12/2017;861;258.3
Salt;9/15/2018;1648;444.96
Organic Fruits;1/20/2018;1805;216.6
Fresh Vegetables;09/05/2017;620;74.4
Noodles;09/05/2017;1216;547.2
Fish;09/05/2017;686;34.3
Legumes;09/05/2017;1648;313.12
Legumes;09/05/2017;506;217.58
Chocolates;09/05/2017;1579;347.38
Chocolates;3/20/2018;550;231
Soft Drinks;04/01/2017;2020;848.4
Cakes;04/01/2017;695;104.25
Legumes;04/01/2017;2453;367.95
Salt;04/01/2017;1820;637
Meat;04/01/2017;508;152.4
Edible Oil & Ghee;04/01/2017;2459;860.65
Salt;10/20/2018;850;93.5
Biscuits;10/20/2018;2417;821.78
Noodles;12/13/2017;795;206.7
Legumes;02/12/2015;2142;664.02
Legumes;9/26/2017;1542;647.64
Chicken;9/26/2017;2411;699.19
Flour;12/15/2016;1213;206.21
Flour;12/15/2016;507;101.4
Eggs;12/15/2016;618;216.3
Health Drinks;4/22/2017;1199;167.86
Organic Staples;4/22/2017;2200;484
Fresh Vegetables;4/22/2017;1238;519.96
Soft Drinks;4/22/2017;1962;412.02
Chocolates;4/22/2017;580;139.2
Edible Oil & Ghee;1/17/2016;2412;168.84
Biscuits;3/31/2018;1224;208.08
Organic Fruits;12/16/2017;1356;216.96
Soft Drinks;12/20/2016;502;80.32
Breads & Buns;11/09/2015;2271;658.59
Chicken;11/09/2015;1977;514.02
Soft Drinks;11/09/2015;1388;208.2
Fish;11/09/2015;2115;359.55
Salt;11/09/2015;1976;790.4
Breads & Buns;11/09/2015;1323;251.37
Organic Staples;07/12/2017;639;255.6
Flour;10/27/2017;1544;633.04
Organic Fruits;6/26/2017;1223;146.76
Chocolates;6/26/2017;1224;403.92
Cakes;10/06/2015;2157;949.08
Cakes;7/22/2015;673;195.17
Flour;7/22/2015;2092;188.28
Cookies;06/10/2018;1892;491.92
Cookies;06/10/2018;1943;777.2
Organic Fruits;06/10/2018;1968;649.44
Meat;10/29/2015;1596;478.8
Cookies;06/09/2015;1637;572.95
Chocolates;06/09/2015;2232;870.48
Cakes;06/09/2015;1917;843.48
Soft Drinks;9/14/2015;531;74.34
Fresh Fruits;9/14/2015;1283;526.03
Soft Drinks;05/09/2017;937;327.95
Health Drinks;3/18/2017;1373;247.14
Soft Drinks;12/27/2016;1598;415.48
Flour;7/25/2017;1398;545.22
Health Drinks;7/25/2017;1070;53.5
Organic Vegetables;7/25/2017;1948;818.16
Meat;7/25/2017;702;161.46
Soft Drinks;5/30/2017;1953;722.61
Fish;5/30/2017;548;115.08
Cookies;5/30/2017;1952;624.64
Legumes;5/30/2017;1836;716.04
Breads & Buns;5/30/2017;2292;114.6
Health Drinks;11/12/2018;2112;380.16
Rice;3/16/2016;2354;870.98
Chocolates;3/16/2016;2061;865.62
Noodles;3/16/2016;1791;519.39
Edible Oil & Ghee;3/16/2016;2009;904.05
Organic Fruits;11/26/2018;1850;777
Breads & Buns;11/26/2018;898;80.82
Breads & Buns;10/20/2017;1070;310.3
Salt;12/21/2018;606;121.2
Health Drinks;12/21/2018;2352;564.48
Eggs;1/22/2018;1381;151.91
Eggs;1/22/2018;1170;257.4
Noodles;1/22/2018;1815;272.25
Eggs;1/22/2018;595;89.25
Breads & Buns;3/22/2016;640;256
Meat;3/22/2016;1854;519.12
Chicken;3/22/2016;2088;689.04
Fresh Vegetables;1/23/2018;1837;734.8
Salt;5/21/2017;737;221.1
Eggs;5/21/2017;2447;978.8
Chicken;12/26/2016;1102;77.14
Cakes;10/21/2018;2236;178.88
Noodles;10/21/2018;1413;155.43
Cookies;09/03/2016;1032;237.36
Breads & Buns;09/03/2016;1597;367.31
Fish;09/03/2016;1537;169.07
Chicken;11/07/2016;1245;348.6
Noodles;09/07/2018;1902;646.68
Organic Staples;5/29/2017;888;115.44
Legumes;5/29/2017;1416;396.48
Noodles;07/10/2017;739;310.38
Soft Drinks;09/03/2018;1262;302.88
Soft Drinks;12/03/2016;2241;493.02
Rice;12/07/2016;2060;412
Chocolates;12/07/2016;1633;669.53
Soft Drinks;02/01/2015;1338;374.64
Organic Fruits;7/14/2017;1382;179.66
Soft Drinks;12/18/2016;1296;388.8
Chocolates;05/11/2015;2289;526.47
Fresh Vegetables;05/11/2015;898;44.9
Chicken;05/11/2015;2017;665.61
Chocolates;11/19/2018;1404;294.84
Cakes;11/19/2018;888;337.44
Fish;11/15/2016;659;204.29
Soft Drinks;11/15/2016;1167;501.81
Chicken;11/15/2016;1471;308.91
Meat;4/15/2017;2481;421.77
Soft Drinks;09/11/2018;2336;607.36
Health Drinks;11/24/2018;1696;84.8
Spices;6/29/2018;1904;628.32
Eggs;03/03/2015;861;163.59
Organic Vegetables;06/10/2017;1505;376.25
Eggs;06/10/2017;1791;608.94
Noodles;06/10/2017;1826;91.3
Fish;11/20/2018;768;268.8
Breads & Buns;11/20/2018;1551;511.83
Organic Fruits;9/14/2015;1313;525.2
Fresh Vegetables;9/14/2015;1455;494.7
Organic Fruits;12/07/2016;777;186.48
Health Drinks;12/07/2016;2179;326.85
Fresh Fruits;12/07/2018;1527;305.4
Biscuits;10/01/2018;2207;132.42
Eggs;10/01/2018;1879;563.7
Edible Oil & Ghee;10/01/2018;1668;283.56
Rice;10/01/2018;727;247.18
Cakes;12/28/2018;979;430.76
Breads & Buns;12/28/2018;1362;381.36
Biscuits;12/28/2018;1626;650.4
Fresh Vegetables;12/28/2018;681;286.02
Eggs;11/03/2017;2017;322.72
Health Drinks;9/18/2016;980;205.8
Biscuits;9/18/2016;931;418.95
Organic Staples;9/18/2016;1454;276.26
Organic Vegetables;7/20/2018;2139;192.51
Organic Staples;7/20/2018;1456;567.84
Organic Fruits;09/10/2016;2403;480.6
Soft Drinks;12/01/2018;822;98.64
Flour;12/01/2018;750;165
Fresh Fruits;12/01/2018;1483;281.77
Fish;12/01/2018;1072;310.88
Cookies;12/01/2018;842;176.82
Chocolates;07/03/2016;1479;73.95
Spices;07/03/2016;619;229.03
Rice;3/20/2017;1784;428.16
Cakes;3/20/2017;1586;650.26
Salt;3/20/2017;1354;324.96
Organic Vegetables;3/20/2017;1545;432.6
Legumes;01/09/2015;2409;867.24
Spices;01/09/2015;1432;300.72
Noodles;08/08/2015;1443;533.91
Rice;08/08/2015;1770;177
Health Drinks;08/08/2015;1298;272.58
Eggs;08/08/2015;1674;652.86
Eggs;7/14/2017;1925;712.25
Fresh Vegetables;7/16/2017;1963;392.6
Chocolates;7/16/2017;1899;797.58
Soft Drinks;7/16/2017;2172;608.16
Spices;3/15/2015;2289;618.03
Noodles;3/15/2015;2110;590.8
Health Drinks;3/15/2015;1577;599.26
Health Drinks;3/15/2015;2092;920.48
Soft Drinks;3/15/2015;2269;907.6
Spices;5/23/2015;1426;470.58
Eggs;5/23/2015;1895;852.75
Organic Fruits;5/23/2015;580;168.2
Noodles;4/28/2017;791;142.38
Flour;4/28/2017;1167;303.42
Chocolates;09/11/2017;1138;102.42
Health Drinks;09/11/2017;885;265.5
Noodles;11/14/2018;1149;471.09
Flour;11/14/2018;753;301.2
Flour;8/18/2018;2493;922.41
Meat;8/18/2018;2236;961.48
Fish;8/18/2018;2106;884.52
Biscuits;8/18/2018;1873;618.09
Chocolates;8/18/2018;1155;138.6
Meat;12/26/2015;1881;432.63
Health Drinks;11/29/2016;2285;982.55
Biscuits;11/29/2016;561;134.64
Eggs;11/29/2016;1482;340.86
Organic Vegetables;11/29/2016;977;332.18
Flour;9/15/2018;1595;717.75
Organic Vegetables;5/19/2018;1069;128.28
Soft Drinks;12/17/2018;566;215.08
Soft Drinks;12/17/2018;1551;155.1
Chicken;12/11/2017;1279;409.28
Biscuits;12/11/2017;745;208.6
Rice;12/11/2017;540;32.4
Eggs;9/24/2018;620;43.4
Fish;9/24/2018;1931;308.96
Biscuits;10/04/2016;2151;215.1
Flour;8/15/2017;1547;665.21
Breads & Buns;8/15/2017;926;240.76
Breads & Buns;5/20/2017;1419;283.8
Cookies;5/20/2017;534;101.46
Spices;12/18/2017;2037;448.14
Flour;7/30/2018;966;183.54
Flour;7/30/2018;1125;427.5
Spices;06/10/2018;2333;139.98
Noodles;7/21/2018;1361;299.42
Eggs;12/30/2018;1656;149.04
Noodles;04/01/2017;1351;202.65
Health Drinks;04/01/2017;992;109.12
Fish;12/11/2017;559;223.6
Chocolates;12/11/2017;2404;697.16
Rice;12/11/2017;1082;421.98
Fish;10/23/2017;1051;147.14
Organic Vegetables;6/19/2018;1578;362.94
Edible Oil & Ghee;6/19/2018;1086;434.4
Cakes;8/22/2017;1703;221.39
Rice;8/22/2017;1630;537.9
Chocolates;8/22/2017;1689;236.46
Health Drinks;9/19/2017;1972;216.92
Salt;9/19/2017;1797;682.86
Soft Drinks;8/24/2016;1562;421.74
Fresh Fruits;8/24/2016;2398;671.44
Cakes;8/24/2016;2372;237.2
Soft Drinks;8/24/2016;1527;106.89
Chocolates;3/26/2017;884;150.28
Fresh Vegetables;11/04/2017;2482;645.32
Flour;06/08/2018;1250;125
Rice;06/08/2018;1548;356.04
Health Drinks;06/08/2018;2147;536.75
Fish;12/24/2015;2159;647.7
Noodles;06/09/2018;1054;432.14
Fish;06/09/2018;883;291.39
Spices;06/09/2018;1676;134.08
Fresh Vegetables;6/15/2018;2323;673.67
Eggs;12/05/2018;1292;297.16
Organic Staples;12/05/2018;2421;387.36
Cakes;12/05/2018;1204;457.52
Cookies;3/18/2018;2118;868.38
Chicken;3/18/2018;1832;549.6
Health Drinks;3/18/2018;1136;170.4
Fish;3/18/2018;1952;585.6
Health Drinks;11/19/2017;1686;573.24
Spices;11/19/2017;2202;748.68
Chicken;11/19/2017;2397;743.07
Chocolates;11/04/2018;1709;615.24
Noodles;11/04/2018;2340;444.6
Spices;07/05/2015;1130;327.7
Salt;07/05/2015;960;144
Cakes;07/05/2015;2142;149.94
Salt;12/25/2018;774;69.66
Rice;6/21/2015;2427;461.13
Organic Staples;6/21/2015;2231;379.27
Chicken;6/21/2015;1163;314.01
Spices;3/28/2016;520;52
Breads & Buns;3/28/2016;713;299.46
Biscuits;5/14/2016;2128;425.6
Meat;5/14/2016;2302;230.2
Salt;5/14/2016;1735;572.55
Health Drinks;5/14/2016;2178;718.74
Chicken;5/14/2016;2173;956.12
Edible Oil & Ghee;5/14/2016;1064;234.08
Health Drinks;5/14/2016;1259;276.98
Breads & Buns;09/02/2018;2086;229.46
