Item,Order Date,Sales,Profit
Flour,6/17/2017,441518,114794.68
Fish,6/17/2017,221510.52,50947.4196
Legumes,6/17/2017,305117.12,36614.0544
Meat,6/17/2017,247250.08,79120.0256
Health_Drinks,6/17/2017,398493.48,127517.9136
Salt,6/17/2017,268292.64,50975.6016
Noodles,6/17/2017,132643.28,54383.7448
Fish,11/24/2016,173037.48,34607.496
Fresh_Fruits,11/24/2016,327099.08,124297.6504
Eggs,11/24/2016,114043.16,37634.2428
Meat,11/24/2016,342693.12,143931.1104
Flour,4/30/2016,257019.84,71965.5552
Fresh_Vegetables,12/05/2015,217940.8,95893.952
Flour,12/05/2015,243116.72,14587.0032
Salt,06/04/2017,231468.16,104160.672
Meat,9/18/2017,186752.72,67230.9792
Noodles,9/14/2018,463687.84,190112.0144
Cookies,4/26/2016,135461.48,18964.6072
Organic_Vegetables,4/26/2016,446215,89243
Soft_Drinks,4/26/2016,369184.2,22151.052
Soft_Drinks,12/09/2018,279753.32,36367.9316
Organic_Fruits,12/09/2018,234850,14091
Noodles,12/09/2018,255141.04,91850.7744
Cookies,11/26/2015,135085.72,12157.7148
Organic_Fruits,06/12/2017,432687.64,116825.6628
Health_Drinks,06/12/2017,380832.76,171374.742
Flour,10/12/2015,326723.32,143758.2608
Spices,10/12/2015,186001.2,42780.276
Soft_Drinks,09/03/2016,442269.52,128258.1608
Organic_Fruits,11/13/2018,196146.72,64728.4176
Spices,5/28/2018,399996.52,123998.9212
Rice,10/26/2018,330480.92,115668.322
Eggs,10/26/2018,312444.44,124977.776
Breads,04/05/2017,396614.68,35695.3212
Legumes,9/17/2017,352838.64,84681.2736
Chicken,9/17/2017,144479.72,8668.7832
Health_Drinks,9/17/2017,233159.08,76942.4964
Flour,1/31/2016,399808.64,71965.5552
Fresh_Fruits,1/31/2016,424045.16,50885.4192
Chocolates,1/31/2016,241425.8,41042.386
Fish,11/06/2018,231092.4,83193.264
Flour,11/09/2018,348705.28,135995.0592
Fresh_Fruits,6/17/2018,102394.6,23550.758
Chocolates,09/06/2017,432311.88,73493.0196
Spices,8/29/2017,277123,99764.28
Cakes,8/29/2017,397929.84,171109.8312
Soft_Drinks,8/29/2017,286892.76,126232.8144
Chocolates,12/01/2017,106527.96,33023.6676
Fresh_Fruits,11/13/2016,182055.72,34590.5868
Legumes,11/13/2016,432124,194455.8
Salt,11/13/2016,295911,14795.55
Health_Drinks,11/23/2018,101455.2,20291.04
Cookies,11/23/2018,100703.68,33232.2144
Eggs,11/23/2018,104461.28,29249.1584
Fresh_Fruits,10/15/2016,221510.52,50947.4196
Legumes,12/25/2018,279377.56,94988.3704
Breads,11/03/2017,417093.6,20854.68
Edible_Oil,11/03/2017,404881.4,109317.978
Fresh_Vegetables,8/25/2015,216813.52,13008.8112
Noodles,8/25/2015,454669.6,45466.96
Chocolates,8/25/2015,245183.4,53940.348
Organic_Fruits,8/25/2015,174164.76,29608.0092
Organic_Vegetables,03/02/2016,184686.04,35090.3476
Rice,04/05/2016,169655.64,16965.564
Chicken,06/12/2017,232031.8,13921.908
Organic_Vegetables,06/12/2017,233534.84,32694.8776
Cakes,06/12/2017,121934.12,37799.5772
Meat,06/12/2017,442269.52,35381.5616
Soft_Drinks,06/12/2017,271110.84,35244.4092
Breads,12/26/2015,183183,73273.2
Organic_Vegetables,9/20/2015,167025.32,13362.0256
Meat,11/05/2018,441893.76,163500.6912
Spices,11/05/2018,242928.84,63161.4984
Rice,11/06/2017,273929.04,112310.9064
Flour,11/06/2017,338371.88,23686.0316
Chocolates,02/02/2018,236916.68,78182.5044
Soft_Drinks,02/02/2018,396802.56,19840.128
Fish,02/02/2018,120243.2,26453.504
Cakes,10/13/2017,311505.04,59185.9576
Health_Drinks,10/13/2017,445839.24,124834.9872
Organic_Fruits,10/13/2017,268668.4,96720.624
Spices,10/13/2017,351899.24,126683.7264
Eggs,10/13/2017,162891.96,61898.9448
Noodles,10/13/2017,206855.88,91016.5872
Meat,10/13/2017,204413.44,79721.2416
Biscuits,09/05/2017,162704.08,71589.7952
Salt,9/18/2018,466506.04,41985.5436
Flour,9/18/2018,250819.8,55180.356
Fish,9/18/2018,143728.2,47430.306
Meat,12/22/2018,451475.64,117383.6664
Edible_Oil,09/07/2016,291401.88,107818.6956
Organic_Staples,10/22/2015,293844.32,35261.3184
Fresh_Vegetables,12/05/2017,211365,54954.9
Health_Drinks,12/05/2017,144291.84,34630.0416
Fish,12/05/2017,372941.8,137988.466
Rice,12/05/2017,429681.56,193356.702
Chocolates,3/13/2017,190886.08,62992.4064
Cookies,3/13/2017,160073.76,14406.6384
Organic_Staples,5/31/2016,231656.04,44014.6476
Noodles,5/31/2016,420099.68,117627.9104
Fresh_Vegetables,5/31/2016,411081.44,152100.1328
Cookies,5/28/2016,209298.32,85812.3112
Edible_Oil,03/01/2015,333299.12,116654.692
Soft_Drinks,11/20/2017,444148.32,195425.2608
Legumes,11/20/2017,279377.56,27937.756
Soft_Drinks,05/11/2017,133958.44,36168.7788
Fish,12/28/2016,138467.56,52617.6728
Chocolates,11/16/2017,188631.52,64134.7168
Cookies,11/07/2017,284826.08,22786.0864
Flour,09/08/2015,270922.96,113787.6432
Health_Drinks,09/08/2015,317517.2,79379.3
Chocolates,09/08/2015,379705.48,64549.9316
Meat,09/08/2015,439639.2,92324.232
Spices,09/08/2015,132455.4,33113.85
Chicken,09/08/2015,228274.2,11413.71
Legumes,09/08/2015,103709.76,44595.1968
Health_Drinks,08/05/2015,265286.56,106114.624
Legumes,08/05/2015,148613.08,28236.4852
Organic_Vegetables,08/05/2015,465190.88,79082.4496
Fresh_Vegetables,9/14/2015,328226.36,88621.1172
Organic_Fruits,9/14/2015,370687.24,159395.5132
Spices,4/21/2018,380457,102723.39
Noodles,11/21/2016,190886.08,41994.9376
Organic_Fruits,11/21/2016,129449.32,10355.9456
Flour,12/15/2016,248377.36,64578.1136
Cookies,12/05/2015,301547.4,81417.798
Health_Drinks,12/05/2015,322777.84,32277.784
Edible_Oil,11/19/2015,409014.76,147245.3136
Organic_Staples,11/19/2015,108594.64,44523.8024
Legumes,11/19/2015,146922.16,36730.54
Noodles,11/28/2017,260777.44,18254.4208
Cakes,8/26/2015,425360.32,148876.112
Soft_Drinks,7/16/2017,152746.44,25966.8948
Organic_Fruits,7/16/2017,378578.2,106001.896
Soft_Drinks,10/12/2016,269232.04,88846.5732
Organic_Fruits,10/12/2016,393232.84,62917.2544
Fresh_Vegetables,10/12/2016,403754.12,117088.6948
Health_Drinks,10/12/2016,370499.36,77804.8656
Salt,10/12/2016,387032.8,81276.888
Eggs,10/31/2016,220759,64020.11
Edible_Oil,3/21/2015,189007.28,35911.3832
Breads,3/21/2015,264722.92,71475.1884
Organic_Staples,11/06/2018,171722.32,63537.2584
Meat,07/06/2018,254013.76,99065.3664
Eggs,07/06/2018,128134.16,32033.54
Organic_Staples,6/24/2018,326535.44,45714.9616
Cakes,08/03/2015,454857.48,90971.496
Organic_Staples,08/03/2015,421790.6,75922.308
Salt,12/17/2018,168340.48,55552.3584
Spices,06/03/2018,194080.04,34934.4072
Meat,12/09/2018,375384.24,26276.8968
Chicken,12/01/2018,275995.72,121438.1168
Eggs,12/01/2018,356784.12,67788.9828
Meat,12/01/2018,412208.72,28854.6104
Soft_Drinks,12/01/2018,364862.96,94864.3696
Organic_Vegetables,12/01/2018,114418.92,38902.4328
Chicken,02/09/2016,442081.64,79574.6952
Soft_Drinks,01/02/2016,298917.08,50815.9036
Rice,01/02/2016,254201.64,99138.6396
Health_Drinks,01/02/2016,191637.6,15331.008
Noodles,01/02/2016,255892.56,33266.0328
Rice,01/02/2016,325596.04,81399.01
Salt,10/28/2017,366178.12,18308.906
Organic_Fruits,10/28/2017,444899.84,164612.9408
Fresh_Vegetables,12/24/2016,396426.8,91178.164
Legumes,12/24/2016,364487.2,149439.752
Fish,12/24/2016,292529.16,119936.9556
Fish,12/24/2016,271110.84,51511.0596
Soft_Drinks,12/24/2016,380269.12,171121.104
Chicken,12/24/2016,407323.84,105904.1984
Chicken,08/09/2016,116673.48,32668.5744
Organic_Staples,08/09/2016,231092.4,55462.176
Cookies,08/09/2016,105212.8,45241.504
Edible_Oil,2/28/2016,241613.68,53155.0096
Health_Drinks,2/28/2016,233346.96,28001.6352
Breads,9/13/2015,134709.96,8082.5976
Soft_Drinks,04/07/2018,278062.4,83418.72
Legumes,04/07/2018,155188.88,46556.664
Cookies,04/07/2018,346826.48,52023.972
Soft_Drinks,04/07/2018,384214.6,103737.942
Organic_Fruits,04/07/2018,372566.04,145300.7556
Cakes,11/12/2018,122122,46406.36
Breads,06/04/2017,406384.44,40638.444
Organic_Vegetables,06/04/2017,278250.28,97387.598
Cookies,06/04/2017,468196.96,23409.848
Cakes,06/04/2017,180740.56,79525.8464
Health_Drinks,06/04/2017,269044.16,40356.624
Edible_Oil,06/04/2017,98261.24,14739.186
Salt,06/04/2017,289335.2,121520.784
Biscuits,06/01/2015,153497.96,61399.184
Fish,06/01/2015,462560.56,69384.084
Organic_Fruits,06/01/2015,180740.56,54222.168
Health_Drinks,06/01/2015,101079.44,11118.7384
Cookies,06/01/2015,292341.28,90625.7968
Health_Drinks,12/10/2017,400748.04,180336.618
Health_Drinks,09/11/2017,276935.12,44309.6192
Health_Drinks,09/11/2017,99764.28,23943.4272
Rice,12/10/2017,332359.72,119649.4992
Organic_Vegetables,12/10/2017,236165.16,11808.258
Rice,11/28/2016,356784.12,32110.5708
Fresh_Fruits,11/28/2016,362420.52,115974.5664
Soft_Drinks,11/28/2016,454105.96,186183.4436
Meat,11/28/2016,271110.84,89466.5772
Soft_Drinks,12/01/2018,124000.8,54560.352
Breads,12/01/2018,397178.32,67520.3144
Salt,12/01/2018,240110.64,12005.532
Organic_Staples,06/08/2018,162891.96,40722.99
Organic_Staples,9/19/2015,177170.84,28347.3344
Soft_Drinks,9/19/2015,344947.68,51742.152
Fish,06/06/2017,225456,78909.6
Organic_Vegetables,11/10/2016,219255.96,48236.3112
Chicken,6/16/2018,130764.48,26152.896
Salt,1/22/2017,469700,79849
Cakes,12/09/2018,283135.16,33976.2192
Soft_Drinks,12/09/2018,302862.56,115087.7728
Noodles,12/28/2018,143540.32,30143.4672
Noodles,7/30/2016,166085.92,53147.4944
Organic_Fruits,7/30/2016,458990.84,146877.0688
Cakes,7/30/2016,215498.36,25859.8032
Organic_Vegetables,9/16/2018,356784.12,92763.8712
Cakes,9/16/2018,139782.72,12580.4448
Fish,10/13/2018,152558.56,53395.496
Salt,10/13/2018,161952.56,25912.4096
Chocolates,10/13/2018,199340.68,53821.9836
Fresh_Vegetables,10/13/2018,444336.2,97753.964
Chocolates,9/26/2016,266977.48,85432.7936
Organic_Vegetables,9/26/2016,254953.16,38242.974
Soft_Drinks,11/02/2016,189195.16,81353.9188
Biscuits,9/26/2016,290086.72,26107.8048
Organic_Vegetables,9/26/2016,288771.56,112620.9084
Breads,9/26/2016,287456.4,31620.204
Spices,12/18/2017,462184.8,138655.44
Noodles,12/18/2017,183370.88,80683.1872
Organic_Fruits,12/18/2017,207795.28,56104.7256
Biscuits,11/20/2017,218880.2,45964.842
Rice,11/20/2017,233722.72,93489.088
Organic_Fruits,11/20/2017,374256.96,78593.9616
Eggs,11/20/2017,262280.48,44587.6816
Chocolates,12/26/2015,159510.12,49448.1372
Salt,12/26/2015,467445.44,102837.9968
Rice,12/26/2015,157819.2,34720.224
Edible_Oil,12/26/2015,341941.6,99163.064
Salt,12/26/2015,369935.72,118379.4304
Organic_Staples,10/28/2017,424796.68,186910.5392
Meat,10/28/2017,336868.84,57267.7028
Breads,10/28/2017,120994.72,18149.208
Edible_Oil,10/28/2017,255328.92,79151.9652
Breads,10/28/2017,291965.52,128464.8288
Cookies,11/19/2018,392669.2,54973.688
Edible_Oil,05/04/2016,174916.28,55973.2096
Breads,12/30/2015,217377.16,76082.006
Fresh_Fruits,06/01/2015,450160.48,72025.6768
Spices,06/01/2015,315074.76,110276.166
Cookies,4/15/2018,110849.2,37688.728
Noodles,09/12/2017,263219.88,36850.7832
Edible_Oil,09/12/2017,127382.64,35667.1392
Chocolates,09/12/2017,454105.96,149854.9668
Soft_Drinks,09/12/2017,415402.68,120466.7772
Fresh_Fruits,9/27/2015,449408.96,76399.5232
Meat,08/09/2015,344759.8,124113.528
Noodles,08/09/2015,428554.28,145708.4552
Fresh_Vegetables,12/28/2015,297414.04,32715.5444
Cakes,11/04/2015,210989.24,16879.1392
Cookies,11/04/2015,202722.52,77034.5576
Organic_Staples,11/04/2015,192952.76,61744.8832
Fresh_Vegetables,11/04/2015,332735.48,113130.0632
Spices,11/04/2015,220007.48,68202.3188
Cakes,9/19/2015,126255.36,26513.6256
Health_Drinks,4/23/2017,159322.24,43017.0048
Fresh_Vegetables,4/23/2017,390414.64,171782.4416
Rice,11/03/2018,263032,76279.28
Fresh_Vegetables,8/30/2017,177546.6,42611.184
Health_Drinks,8/30/2017,110849.2,15518.888
Health_Drinks,8/30/2017,297414.04,59482.808
Health_Drinks,8/30/2017,288207.92,46113.2672
Noodles,8/30/2017,400748.04,92172.0492
Organic_Fruits,4/25/2017,379705.48,140491.0276
Health_Drinks,4/25/2017,342881,30859.29
Breads,4/25/2017,381208.52,114362.556
Spices,09/01/2016,230716.64,83057.9904
Rice,09/01/2016,282007.88,39481.1032
Organic_Vegetables,09/01/2016,205540.72,78105.4736
Cakes,07/12/2015,221510.52,19935.9468
Flour,07/12/2015,211740.76,78344.0812
Biscuits,6/22/2016,112915.88,44037.1932
Edible_Oil,4/13/2015,318832.36,105214.6788
Soft_Drinks,4/13/2015,393608.6,94466.064
Chicken,4/13/2015,212680.16,40409.2304
Organic_Vegetables,4/13/2015,293280.68,120245.0788
Chicken,12/20/2016,232595.44,55822.9056
Breads,6/15/2018,388535.84,31082.8672
Organic_Vegetables,07/08/2018,209110.44,66915.3408
Rice,07/08/2018,369372.08,118199.0656
Chicken,07/08/2018,401687.44,128539.9808
Flour,09/01/2017,183746.64,12862.2648
Fresh_Vegetables,09/01/2017,378390.32,128652.7088
Breads,09/01/2017,121182.6,35142.954
Rice,09/01/2017,412208.72,127784.7032
Health_Drinks,09/01/2017,233722.72,11686.136
Biscuits,04/08/2017,139594.84,54441.9876
Fresh_Vegetables,04/08/2017,464815.12,111555.6288
Cookies,04/08/2017,280692.72,14034.636
Spices,04/08/2017,220571.12,61759.9136
Organic_Vegetables,4/23/2017,199528.56,81806.7096
Organic_Vegetables,03/08/2018,431560.36,99258.8828
Noodles,03/08/2018,105588.56,10558.856
Eggs,9/25/2018,384966.12,123189.1584
Eggs,9/25/2018,107091.6,23560.152
Meat,9/25/2018,232219.68,62699.3136
Health_Drinks,9/25/2018,200843.72,86362.7996
Cakes,9/24/2015,365614.48,116996.6336
Noodles,10/21/2017,111788.6,36890.238
Meat,10/21/2017,458239.32,123724.6164
Biscuits,10/21/2017,453730.2,104357.946
Spices,10/21/2017,324093,68059.53
Fresh_Vegetables,5/29/2018,129261.44,21974.4448
Rice,5/29/2018,319020.24,63804.048
Breads,7/23/2015,312820.2,40666.626
Health_Drinks,7/23/2015,245934.92,14756.0952
Spices,7/23/2015,170031.4,13602.512
Meat,7/23/2015,426675.48,55467.8124
Chocolates,9/28/2017,392857.08,98214.27
Flour,8/27/2018,360165.96,32414.9364
Rice,4/28/2016,120431.08,33720.7024
Spices,4/28/2016,223952.96,78383.536
Rice,4/28/2016,212680.16,87198.8656
Salt,10/28/2017,324468.76,42180.9388
Meat,10/28/2017,197461.88,71086.2768
Health_Drinks,6/26/2016,396238.92,63398.2272
Meat,11/27/2016,246310.68,59114.5632
Organic_Fruits,11/27/2016,142600.92,49910.322
Biscuits,12/03/2016,413523.88,86840.0148
Cookies,12/03/2016,368996.32,59039.4112
Chocolates,11/24/2015,356596.24,131940.6088
Biscuits,12/11/2018,428742.16,21437.108
Breads,12/11/2018,430996.72,112059.1472
Spices,9/21/2015,415778.44,187100.298
Flour,9/21/2015,337620.36,50643.054
Edible_Oil,06/07/2015,359226.56,71845.312
Rice,6/30/2018,350396.2,66575.278
Cakes,10/17/2018,345323.44,141582.6104
Soft_Drinks,10/17/2018,305492.88,36659.1456
Noodles,10/31/2016,121558.36,13371.4196
Breads,09/08/2017,195770.96,33281.0632
Health_Drinks,09/08/2017,285389.72,59931.8412
Health_Drinks,09/08/2017,99952.16,27986.6048
Chicken,09/08/2017,277498.76,13874.938
Cakes,12/24/2015,132831.16,18596.3624
Cookies,4/16/2015,328414.24,59114.5632
Salt,12/24/2018,424045.16,67847.2256
Flour,12/08/2018,143164.56,37222.7856
Rice,12/08/2018,169843.52,11889.0464
Fresh_Fruits,12/08/2018,179989.04,34197.9176
Soft_Drinks,12/08/2018,412020.84,168928.5444
Eggs,12/08/2018,155940.4,12475.232
Cakes,12/08/2018,287644.28,94922.6124
Cookies,12/08/2018,442457.4,141586.368
Edible_Oil,12/08/2018,172285.96,48240.0688
Breads,12/08/2018,269232.04,86154.2528
Fish,11/03/2018,421978.48,181450.7464
Legumes,11/03/2018,400184.4,176081.136
Cookies,6/24/2018,462372.68,73979.6288
Soft_Drinks,4/14/2017,350020.44,31501.8396
Legumes,11/06/2018,259650.16,54526.5336
Health_Drinks,03/04/2018,151619.16,16678.1076
Fish,03/04/2018,238983.36,57356.0064
Organic_Fruits,6/22/2015,304553.48,88320.5092
Breads,10/19/2018,254765.28,94263.1536
Organic_Staples,10/19/2018,128509.92,10280.7936
Cakes,8/21/2018,101455.2,30436.56
Soft_Drinks,11/23/2018,235977.28,21237.9552
Health_Drinks,11/23/2018,109158.28,40388.5636
Noodles,09/12/2015,132831.16,42505.9712
Organic_Vegetables,10/01/2018,171534.44,70329.1204
Rice,4/15/2017,95255.16,18098.4804
Fresh_Fruits,4/15/2017,256831.96,66776.3096
Organic_Staples,4/15/2017,156504.04,43821.1312
Soft_Drinks,4/15/2017,373317.56,48531.2828
Breads,06/06/2017,216437.76,49780.6848
Noodles,12/19/2015,255892.56,97239.1728
Cookies,12/19/2015,176982.96,23007.7848
Eggs,06/12/2017,413336,148800.96
Noodles,06/12/2017,161764.68,48529.404
Salt,9/15/2018,309626.24,83599.0848
Organic_Fruits,1/20/2018,339123.4,40694.808
Fresh_Vegetables,09/05/2017,116485.6,13978.272
Noodles,09/05/2017,228462.08,102807.936
Fish,09/05/2017,128885.68,6444.284
Legumes,09/05/2017,309626.24,58828.9856
Legumes,09/05/2017,95067.28,40878.9304
Chocolates,09/05/2017,296662.52,65265.7544
Chocolates,3/20/2018,103334,43400.28
Soft_Drinks,04/01/2017,379517.6,159397.392
Cakes,04/01/2017,130576.6,19586.49
Legumes,04/01/2017,460869.64,69130.446
Salt,04/01/2017,341941.6,119679.56
Meat,04/01/2017,95443.04,28632.912
Edible_Oil,04/01/2017,461996.92,161698.922
Salt,10/20/2018,159698,17566.78
Biscuits,10/20/2018,454105.96,154396.0264
Noodles,12/13/2017,149364.6,38834.796
Legumes,02/12/2015,402438.96,124756.0776
Legumes,9/26/2017,289710.96,121678.6032
Chicken,9/26/2017,452978.68,131363.8172
Flour,12/15/2016,227898.44,38742.7348
Flour,12/15/2016,95255.16,19051.032
Eggs,12/15/2016,116109.84,40638.444
Health_Drinks,4/22/2017,225268.12,31537.5368
Organic_Staples,4/22/2017,413336,90933.92
Fresh_Vegetables,4/22/2017,232595.44,97690.0848
Soft_Drinks,4/22/2017,368620.56,77410.3176
Chocolates,4/22/2017,108970.4,26152.896
Edible_Oil,1/17/2016,453166.56,31721.6592
Biscuits,3/31/2018,229965.12,39094.0704
Organic_Fruits,12/16/2017,254765.28,40762.4448
Soft_Drinks,12/20/2016,94315.76,15090.5216
Breads,11/09/2015,426675.48,123735.8892
Chicken,11/09/2015,371438.76,96574.0776
Soft_Drinks,11/09/2015,260777.44,39116.616
Fish,11/09/2015,397366.2,67552.254
Salt,11/09/2015,371250.88,148500.352
Breads,11/09/2015,248565.24,47227.3956
Organic_Staples,07/12/2017,120055.32,48022.128
Flour,10/27/2017,290086.72,118935.5552
Organic_Fruits,6/26/2017,229777.24,27573.2688
Chocolates,6/26/2017,229965.12,75888.4896
Cakes,10/06/2015,405257.16,178313.1504
Cakes,7/22/2015,126443.24,36668.5396
Flour,7/22/2015,393044.96,35374.0464
Cookies,06/10/2018,355468.96,92421.9296
Cookies,06/10/2018,365050.84,146020.336
Organic_Fruits,06/10/2018,369747.84,122016.7872
Meat,10/29/2015,299856.48,89956.944
Cookies,06/09/2015,307559.56,107645.846
Chocolates,06/09/2015,419348.16,163545.7824
Cakes,06/09/2015,360165.96,158473.0224
Soft_Drinks,9/14/2015,99764.28,13966.9992
Fresh_Fruits,9/14/2015,241050.04,98830.5164
Soft_Drinks,05/09/2017,176043.56,61615.246
Health_Drinks,3/18/2017,257959.24,46432.6632
Soft_Drinks,12/27/2016,300232.24,78060.3824
Flour,7/25/2017,262656.24,102435.9336
Health_Drinks,7/25/2017,201031.6,10051.58
Organic_Vegetables,7/25/2017,365990.24,153715.9008
Meat,7/25/2017,131891.76,30335.1048
Soft_Drinks,5/30/2017,366929.64,135763.9668
Fish,5/30/2017,102958.24,21621.2304
Cookies,5/30/2017,366741.76,117357.3632
Legumes,5/30/2017,344947.68,134529.5952
Breads,5/30/2017,430620.96,21531.048
Health_Drinks,11/12/2018,396802.56,71424.4608
Rice,3/16/2016,442269.52,163639.7224
Chocolates,3/16/2016,387220.68,162632.6856
Noodles,3/16/2016,336493.08,97582.9932
Edible_Oil,3/16/2016,377450.92,169852.914
Organic_Fruits,11/26/2018,347578,145982.76
Breads,11/26/2018,168716.24,15184.4616
Breads,10/20/2017,201031.6,58299.164
Salt,12/21/2018,113855.28,22771.056
Health_Drinks,12/21/2018,441893.76,106054.5024
Eggs,1/22/2018,259462.28,28540.8508
Eggs,1/22/2018,219819.6,48360.312
Noodles,1/22/2018,341002.2,51150.33
Eggs,1/22/2018,111788.6,16768.29
Breads,3/22/2016,120243.2,48097.28
Meat,3/22/2016,348329.52,97532.2656
Chicken,3/22/2016,392293.44,129456.8352
Fresh_Vegetables,1/23/2018,345135.56,138054.224
Salt,5/21/2017,138467.56,41540.268
Eggs,5/21/2017,459742.36,183896.944
Chicken,12/26/2016,207043.76,14493.0632
Cakes,10/21/2018,420099.68,33607.9744
Noodles,10/21/2018,265474.44,29202.1884
Cookies,09/03/2016,193892.16,44595.1968
Breads,09/03/2016,300044.36,69010.2028
Fish,09/03/2016,288771.56,31764.8716
Chicken,11/07/2016,233910.6,65494.968
Noodles,09/07/2018,357347.76,121498.2384
Organic_Staples,5/29/2017,166837.44,21688.8672
Legumes,5/29/2017,266038.08,74490.6624
Noodles,07/10/2017,138843.32,58314.1944
Soft_Drinks,09/03/2018,237104.56,56905.0944
Soft_Drinks,12/03/2016,421039.08,92628.5976
Rice,12/07/2016,387032.8,77406.56
Chocolates,12/07/2016,306808.04,125791.2964
Soft_Drinks,02/01/2015,251383.44,70387.3632
Organic_Fruits,7/14/2017,259650.16,33754.5208
Soft_Drinks,12/18/2016,243492.48,73047.744
Chocolates,05/11/2015,430057.32,98913.1836
Fresh_Vegetables,05/11/2015,168716.24,8435.812
Chicken,05/11/2015,378953.96,125054.8068
Chocolates,11/19/2018,263783.52,55394.5392
Cakes,11/19/2018,166837.44,63398.2272
Fish,11/15/2016,123812.92,38382.0052
Soft_Drinks,11/15/2016,219255.96,94280.0628
Chicken,11/15/2016,276371.48,58038.0108
Meat,4/15/2017,466130.28,79242.1476
Soft_Drinks,09/11/2018,438887.68,114110.7968
Health_Drinks,11/24/2018,318644.48,15932.224
Spices,6/29/2018,357723.52,118048.7616
Eggs,03/03/2015,161764.68,30735.2892
Organic_Vegetables,06/10/2017,282759.4,70689.85
Eggs,06/10/2017,336493.08,114407.6472
Noodles,06/10/2017,343068.88,17153.444
Fish,11/20/2018,144291.84,50502.144
Breads,11/20/2018,291401.88,96162.6204
Organic_Fruits,9/14/2015,246686.44,98674.576
Fresh_Vegetables,9/14/2015,273365.4,92944.236
Organic_Fruits,12/07/2016,145982.76,35035.8624
Health_Drinks,12/07/2016,409390.52,61408.578
Fresh_Fruits,12/07/2018,286892.76,57378.552
Biscuits,10/01/2018,414651.16,24879.0696
Eggs,10/01/2018,353026.52,105907.956
Edible_Oil,10/01/2018,313383.84,53275.2528
Rice,10/01/2018,136588.76,46440.1784
Cakes,12/28/2018,183934.52,80931.1888
Breads,12/28/2018,255892.56,71649.9168
Biscuits,12/28/2018,305492.88,122197.152
Fresh_Vegetables,12/28/2018,127946.28,53737.4376
Eggs,11/03/2017,378953.96,60632.6336
Health_Drinks,9/18/2016,184122.4,38665.704
Biscuits,9/18/2016,174916.28,78712.326
Organic_Staples,9/18/2016,273177.52,51903.7288
Organic_Vegetables,7/20/2018,401875.32,36168.7788
Organic_Staples,7/20/2018,273553.28,106685.7792
Organic_Fruits,09/10/2016,451475.64,90295.128
Soft_Drinks,12/01/2018,154437.36,18532.4832
Flour,12/01/2018,140910,31000.2
Fresh_Fruits,12/01/2018,278626.04,52938.9476
